,pumping_rate,Q,67037,69402,151061,151101,151143,151161,151179,151188,151189,151190,151191,157208,157211,209148,209254,209255,Q_win,pumping_rate_win
2008-08-01,1.8562177656003191,-0.4729640310869665,22.68865514426941,58.290637990195144,31.670331766472405,10.483044579996063,23.6861986954423,34.91816828412938,22.10451026690605,8.356467894696795,27.925548133476504,65.12,34.02264616960294,65.26155243123137,35.20094726243518,37.95065929409328,11.597576214179796,44.94203044392996,-0.07698422403058947,0.13279888281880517
2008-09-01,0.1301788965538908,-0.40443377122967167,23.01,58.46,31.74,10.46,23.94,35.06,20.02,8.2,27.31,65.7762056737397,35.15,64.9,35.23,39.83,11.8,45.55,-0.054983835052592835,0.08166965731464038
2008-10-01,-0.5477564835928038,-0.41096046264465214,23.326127615773895,58.89393718983554,32.60620606834196,11.060643558083372,24.644326193407345,35.57568083880882,22.349341512334323,8.950048296560588,28.38,65.98755729370143,35.197904124795336,66.0466612222988,36.14523728829719,39.27099978523078,12.138632925248924,46.04943168889705,-0.04546574340574633,0.07329157506532667
2008-11-01,-0.7941072281964557,-0.2738999429300624,22.09,59.95,33.85,10.25,26.07,36.31,22.1,7.96,28.461812033684097,66.66597860583596,38.0,67.75,37.4,42.68,11.06,47.88,-0.022214405239878433,0.06334132293521212
2008-12-01,-0.7512761197463915,-0.4076971169371619,23.91162292538589,59.38289453335578,33.57527095607617,11.509750258258896,25.584368732993084,36.21654914644697,22.419565724765015,9.432295452082176,28.545539669381082,67.38914145758547,36.312788431224384,66.87512724677211,37.0943819863754,40.43320871688592,12.638298526715491,47.26340878303251,-0.008073240507420767,0.051819148145143455
2009-01-01,-0.7351248194378383,-0.3750636598622596,22.350058854996966,60.241692844597246,33.47821552596277,10.387060136110483,25.11632732357539,36.44036203482522,23.650332979031866,8.210192568932236,28.58,67.8920715279721,35.95015118901562,67.32195562542037,36.927214038567044,39.67326170759733,11.279155818389146,46.904005827525104,0.011778779213144802,0.03767167184195396
2009-02-01,-0.8902190925504746,-0.46643733967198603,22.861290724079957,60.990830581225254,34.349740887591025,10.938503506276609,26.013568884553294,37.10973488527355,24.132385843303673,8.754997724313498,29.24,68.37665491539094,37.09900665347279,68.09033284406613,37.82168545738394,40.999166368803564,11.707891897452047,47.86204068096517,0.023200489189360598,0.023986539213946972
2009-03-01,-0.6416934018172297,-0.4076971169371619,23.02574010998284,60.95393557229331,34.432894375701295,11.053724245818144,26.12081538351891,37.13987943086238,24.030990826311303,8.88153052341113,29.23353675454816,68.47376581230652,37.20885367498969,68.12057305753231,37.90724142642091,41.138352308722354,11.85048683095469,47.98859990585901,0.0367977629705699,0.02189302816873336
2009-04-01,-0.5917141682286255,0.8731660732527535,23.32,60.34,35.8,11.12,27.71,37.51,24.65,9.05,28.52860789892982,67.10419892750555,41.8,69.22,39.29,45.74,11.87,49.92,0.13007506110966563,0.02432872357660933
2009-05-01,0.5953249597685796,1.5078868133596033,20.25147937016981,54.21087328762763,26.948763504216917,7.828806059784322,18.941305333233387,31.281959931773528,19.4621943168455,5.738232677807719,24.64413790561737,61.88425683302219,27.943132094159658,60.99230455867748,30.39590510613516,31.0816669440429,9.560094865849369,39.72582670488056,0.14775151702523773,0.05302416282222002
